"Date,Open,High,Low,Close,AdjClose,Volume,return,volatility_20d,return_z"
"2018-10-05,26632.77,26676.16,26301.81,26447.05,26447.05,267100000.0,-0.006776082453164967,0.0050881050658155855,-0.5291430035255807"
"2018-10-08,26399.45,26529.35,26223.09,26486.78,26486.78,273020000.0,0.0015022469424756935,0.005028166965334472,0.0840298969497028"
"2018-10-09,26469.19,26539.94,26324.16,26430.57,26430.57,282560000.0,-0.00212219076837572,0.005021970584188204,-0.18443090927589512"
"2018-10-10,26441.73,26487.87,25567.1,25598.74,25598.74,438200000.0,-0.03147226866465602,0.008806280686953917,-2.358380692225422"
"2018-10-11,25518.39,25683.64,24899.77,25052.83,25052.83,522880000.0,-0.021325658997278785,0.009787260000842018,-1.6068249395620238"
"2018-10-12,25407.63,25467.55,25000.83,25339.99,25339.99,397510000.0,0.011462178125185796,0.010238100674210788,0.8217584409543162"
"2018-10-15,25332.46,25482.42,25243.88,25250.55,25250.55,287320000.0,-0.0035295988672451317,0.010238008316595897,-0.28867712429007497"
"2018-10-16,25351.53,25817.68,25351.53,25798.42,25798.42,305800000.0,0.02169734916665167,0.011346281260793865,1.5798739029533446"
"2018-10-17,25705.87,25810.09,25479.16,25706.68,25706.68,298210000.0,-0.0035560317259738516,0.011243904377636615,-0.2906349966916102"
"2018-10-18,25645.56,25691.46,25236.01,25379.45,25379.45,328020000.0,-0.012729376177709417,0.011220088102128604,-0.9701013425815879"
"2018-10-19,25421.09,25608.71,25350.02,25444.34,25444.34,350810000.0,0.0025567929959080526,0.01120291333779733,0.1621397463365115"
"2018-10-22,25492.14,25561.34,25236.05,25317.41,25317.41,314940000.0,-0.004988535760801827,0.011173297184050135,-0.39674005871542434"
"2018-10-23,25038.46,25307.7,24768.79,25191.43,25191.43,436430000.0,-0.004976022428834548,0.011188839726575037,-0.39581320068764075"
"2018-10-24,25172.88,25306.23,24533.19,24583.42,24583.42,496400000.0,-0.024135588968153154,0.012195746415251696,-1.8149554485123898"
"2018-10-25,24736.54,25104.29,24645.56,24984.55,24984.55,439670000.0,0.016317095017698957,0.012929687756496316,1.1813604005134961"
"2018-10-26,24770.25,24916.16,24445.19,24688.31,24688.31,505310000.0,-0.011856927581245125,0.013057815798821145,-0.9054793867687025"
"2018-10-29,24818.98,25040.58,24122.23,24442.92,24442.92,443850000.0,-0.009939521984291488,0.012884364107548094,-0.7634578392943143"
"2018-10-30,24482.04,24906.68,24415.69,24874.64,24874.64,470050000.0,0.017662374217155774,0.013663209777076923,1.2810047501469364"
